Run,Plot,Infection,G/S,Check,Time,Individual,X,Y,Z,location,horizontal
Mar-16,1,no,S,1,0,1,84,86,30,stem,3.807886553
Mar-16,1,no,S,1,0,2,101,81,0,ground,14.98332406
Mar-16,1,no,S,1,0,3,100,81,0,ground,14.0890028
Mar-16,1,no,S,1,0,4,101,87,0,ground,13.50925609
Mar-16,1,no,S,1,0,5,98,81,49,under,12.34908904
Mar-16,1,no,S,1,0,6,92,80,49,under,8.746427842
Mar-16,1,no,S,1,0,7,107,100,49,stem,23.16246964
Mar-16,1,no,S,1,0,8,109,98,49,under,23.92697223
Mar-16,1,no,S,1,0,9,87,91,29,stem,3.535533906
Mar-16,1,no,S,1,0,10,82,88,26,top,5.522680509
Mar-16,1,no,S,1,0,11,85,96,30,top,8.860022573
Mar-16,1,no,S,1,0,12,88,87,3,stem,0.7071067812
Mar-16,1,no,S,1,0,13,99,91,46,top,12.02081528
Mar-16,1,no,S,1,0,14,91,82,0,ground,6.519202405
Mar-16,1,no,S,2,1,1,88,98,54,top,10.51189802
Mar-16,1,no,S,2,1,2,91,97,53,under,10.12422837
Mar-16,1,no,S,2,1,3,90,97,52,under,9.823441352
Mar-16,1,no,S,2,1,4,90,81,52,under,6.964194139
Mar-16,1,no,S,2,1,5,84,99,28,top,12.02081528
Mar-16,1,no,S,2,1,6,85,89,32,stem,2.915475947
Mar-16,1,no,S,2,1,7,85,87,27,stem,2.549509757
Mar-16,1,no,S,2,1,8,85,86,41,stake,2.915475947
Mar-16,1,no,S,2,1,9,118,99,50,stem,32.59601203
Mar-16,1,no,S,2,1,10,117,102,48,side,32.87095983
Mar-16,1,no,S,2,1,11,96,106,24,stem,20.35927307
Mar-16,1,no,S,2,1,12,103,104,0,ground,22.63846285
Mar-16,1,no,S,2,1,13,98,68,1,top,22.14723459
Mar-16,1,no,S,2,1,14,98,70,1,top,20.40833163
Mar-16,1,no,S,2,1,15,87,88,1,stake,0.7071067812
Mar-16,1,no,S,2,1,16,101,66,23,top,25.38700455
Mar-16,1,no,S,2,1,17,98,66,26,bottom,23.92697223
Mar-16,1,no,S,3,2,1,94,94,48,under,9.192388155
Mar-16,1,no,S,3,2,2,95,91,48,under,8.276472679
Mar-16,1,no,S,3,2,3,96,91,48,top,9.192388155
Mar-16,1,no,S,3,2,4,94,94,49,top,9.192388155
Mar-16,1,no,S,3,2,5,95,93,48,top,9.300537619
Mar-16,1,no,S,3,2,6,75,89,21,stem,12.58967831
Mar-16,1,no,S,3,2,7,110,99,48,stem,25.26855754
Mar-16,1,no,S,3,2,8,111,100,46,under,26.61766331
Mar-16,1,no,S,3,2,9,87,98,29,top,10.51189802
Mar-16,1,no,S,3,2,10,94,103,0,ground,16.80773631
Mar-16,1,no,S,3,2,11,93,109,1,top,22.19234102
Mar-16,1,no,S,3,2,12,96,106,26,stake,20.35927307
Mar-16,1,no,S,3,2,13,89,90,33,stem,2.915475947
Mar-16,1,no,S,3,2,14,97,69,2,under,20.79663434
Mar-16,1,no,S,3,2,15,101,67,18,top,24.54587542
Mar-16,1,no,S,3,2,16,96,70,21,under,19.45507646
Mar-16,1,no,S,3,2,17,119,64,20,stake,39.30012723
Mar-16,1,no,S,3,2,18,110,73,27,stake,26.76751763
