mxy,mt,Deff,R2,AIC,sigma
2,2,2.320389259628747e-11,0.2377183849163904,-44676.694049068385,5.990280828709939e-13
2,3,0.0004483096039464201,0.261372192468062,-12468.537810372656,9.102048456965366e-06
2,4,0.002324685333857337,0.2961064811879959,-8997.618299469388,4.565312999374835e-05
2,5,0.0024093090044101074,0.29899924602241834,-8386.44552107738,4.694802165716573e-05
2,6,0.0022575367692739758,0.29523108725160163,-8060.226106962791,4.22768745223604e-05
2,7,0.0021024055907134256,0.30028683696301417,-7871.324792623658,3.574706384841013e-05
2,8,0.0019741057792785556,0.3080249602255779,-7705.458191945193,2.9823716315743844e-05
2,9,0.0018809712441358402,0.3108333317865002,-7567.498522845755,2.62220109575183e-05
2,10,0.0018109787562429897,0.3123635269427104,-7423.133145720826,2.4044695671201406e-05
2,11,0.0017514155150809775,0.315074625045457,-7357.74368885987,2.2298327467963037e-05
2,12,0.001699420046170709,0.3224679681334943,-7254.693541028555,2.0592706894608298e-05
2,13,0.0016519813585465543,0.3321439312641751,-7238.778889620298,1.8838700744600938e-05
2,14,0.0016117662803916217,0.3446802089565738,-7165.954347310951,1.7162795639477787e-05
2,15,0.00157717532144195,0.35455970426086436,-7158.315316401619,1.5776183698416602e-05
2,16,0.0015496727899816268,0.36219634997121974,-7062.879333502559,1.478021667413392e-05
2,17,0.0015249532046600085,0.3656625011698674,-7033.868110251411,1.4058325166765513e-05
2,18,0.0015031369117742112,0.3665572599364634,-6998.161527534053,1.3572326298396588e-05
2,19,0.0014831769254659436,0.36580352235928293,-6960.211171251856,1.3244274714503846e-05
2,20,0.00146521434852443,0.36584596867899966,-6843.300350902516,1.3035882921760602e-05
3,2,1.3088195456348843e-10,0.23920854392114332,-44612.492432511295,3.3727303207388474e-12
3,3,0.0025286802310252403,0.26289960938616586,-12404.218334565037,5.12206791273504e-05
3,4,0.013113614530826899,0.2977900012832613,-8933.426132015687,0.0002570148979343543
3,5,0.013591859377492285,0.3006670056282511,-8322.165416941956,0.00026439574391539256
3,6,0.01273521742190951,0.296794731250024,-7995.724763715444,0.00023812345101287833
3,7,0.011859321596485168,0.30176951673706753,-7806.626780827801,0.00020133331215906348
3,8,0.0111349850175836,0.3094494383273705,-7640.609092869113,0.0001679464610395589
3,9,0.010609359430289431,0.31221079251022876,-7502.548379660647,0.00014765355056150546
3,10,0.010214479183676158,0.31371228292186004,-7358.1355828780015,0.00013539337964044583
3,11,0.009878502835124925,0.3164103580159946,-7292.738388634866,0.00012556115223837729
3,12,0.009585263272129232,0.32381615854905876,-7189.733662625815,0.00011595585408903472
3,13,0.009317757221884633,0.33351909059598084,-7173.900174629641,0.00010607498534170427
3,14,0.009091047035821576,0.346099088114578,-7101.191619311157,9.663228541444095e-05
3,15,0.008896102646535113,0.3560187640415442,-7093.665807843805,8.881994513239286e-05
3,16,0.00874117338089561,0.36368868343207594,-6998.318590656818,8.320961604413192e-05
3,17,0.008601954614783967,0.36717563174977375,-6969.369235699895,7.914467773911457e-05
3,18,0.008479113093158627,0.3680810715484605,-6933.695969959036,7.640966117704227e-05
3,19,0.00836673295415681,0.3673301974701111,-6895.7560267846175,7.456504850047489e-05
3,20,0.008265588874322306,0.36737074165456995,-6778.830181406851,7.33948213818653e-05
4,2,4.849608637170271e-09,0.3004275301790832,-43698.38100049639,1.2022923294965546e-10
4,3,0.0936692748959154,0.32522613004036705,-11490.778804908326,0.0017654599037725887
4,4,0.48889912490477816,0.36823084138661377,-8033.780697151737,0.009002420363385485
4,5,0.5087665533230282,0.37056849356227917,-7420.796840472271,0.009439425367060574
4,6,0.47546077064844344,0.36029638146579923,-7082.7451752551015,0.008593159445793577
4,7,0.44054904915901594,0.3594338275261336,-6883.504944463455,0.0072449963246059715
4,8,0.41168333390607276,0.362343997304736,-6709.21822237086,0.005979035692242284
4,9,0.391023107796795,0.36115196766749846,-6564.225353236379,0.005225770525324461
